Scenario,Variant,ARI,ARI_ci_low,ARI_ci_high,RLE,RLE_ci_low,RLE_ci_high,Waste,Waste_ci_low,Waste_ci_high,SLCA,SLCA_ci_low,SLCA_ci_high,DecisionLatencyMs,DecisionLatencyMs_ci_low,DecisionLatencyMs_ci_high,ConstraintViolationRate,ConstraintViolationRate_ci_low,ConstraintViolationRate_ci_high,DownstreamViolationRate,DownstreamViolationRate_ci_low,DownstreamViolationRate_ci_high,ContainedViolationRate,ContainedViolationRate_ci_low,ContainedViolationRate_ci_high,n_seeds
heatwave,agribrain_theta_pert_50,0.5467,0.5391,0.5541,0.8181,0.7871,0.8447,0.0320,0.0296,0.0348,0.6836,0.6765,0.6906,23.7020,20.3669,26.5930,0.5878,0.5809,0.5941,0.1244,0.0977,0.1523,0.1410,0.1184,0.1647,20
overproduction,static,0.4059,0.4042,0.4080,0.0000,0.0000,0.0000,0.1254,0.1223,0.1277,0.5139,0.5132,0.5146,0.0798,0.0782,0.0820,0.6958,0.6882,0.7035,1.0000,1.0000,1.0000,0.0000,0.0000,0.0000,20
overproduction,hybrid_rl,0.5399,0.5360,0.5440,0.7828,0.7623,0.8059,0.0675,0.0638,0.0697,0.6430,0.6398,0.6468,0.1528,0.1498,0.1572,0.6852,0.6780,0.6922,0.1928,0.1719,0.2149,0.0955,0.0782,0.1140,20
overproduction,no_pinn,0.5563,0.5521,0.5610,0.8274,0.8026,0.8579,0.0539,0.0521,0.0559,0.6540,0.6504,0.6585,0.1550,0.1520,0.1594,0.6936,0.6872,0.7016,0.1624,0.1419,0.1822,0.0754,0.0589,0.0933,20
overproduction,no_slca,0.5249,0.5208,0.5302,0.6990,0.6705,0.7273,0.0629,0.0603,0.0652,0.6233,0.6191,0.6284,0.1532,0.1502,0.1578,0.6976,0.6913,0.7047,0.3351,0.3007,0.3642,0.0580,0.0467,0.0712,20
overproduction,agribrain,0.5751,0.5699,0.5800,0.8542,0.8174,0.8802,0.0407,0.0387,0.0430,0.6664,0.6615,0.6706,12.6759,11.3746,13.7399,0.6896,0.6792,0.7016,0.1224,0.1046,0.1443,0.0688,0.0537,0.0847,20
overproduction,no_context,0.5593,0.5547,0.5645,0.8208,0.7836,0.8549,0.0456,0.0431,0.0481,0.6524,0.6481,0.6573,0.1561,0.1531,0.1610,0.6948,0.6875,0.7024,0.1697,0.1480,0.1912,0.0896,0.0688,0.1153,20
overproduction,mcp_only,0.5721,0.5678,0.5768,0.8454,0.8102,0.8765,0.0403,0.0380,0.0426,0.6636,0.6594,0.6679,11.1745,8.5581,14.5026,0.6948,0.6875,0.7024,0.1202,0.1028,0.1383,0.0836,0.0635,0.1106,20
overproduction,pirag_only,0.5662,0.5620,0.5711,0.8261,0.7895,0.8583,0.0442,0.0419,0.0465,0.6591,0.6550,0.6637,3.6686,3.5848,3.9708,0.6948,0.6875,0.7024,0.1544,0.1339,0.1738,0.0876,0.0670,0.1135,20
overproduction,agribrain_cold_start,0.5752,0.5700,0.5798,0.8509,0.8148,0.8770,0.0407,0.0388,0.0431,0.6663,0.6616,0.6704,22.4763,20.0967,25.6876,0.6896,0.6792,0.7016,0.1232,0.1045,0.1451,0.0696,0.0545,0.0855,20
overproduction,agribrain_pert_10,0.5744,0.5690,0.5793,0.8505,0.8145,0.8764,0.0409,0.0389,0.0433,0.6656,0.6607,0.6699,13.3972,10.7051,19.4992,0.6896,0.6792,0.7016,0.1239,0.1057,0.1456,0.0701,0.0551,0.0860,20
overproduction,agribrain_pert_25,0.5745,0.5692,0.5795,0.8516,0.8159,0.8788,0.0409,0.0389,0.0433,0.6658,0.6610,0.6702,16.9827,13.7316,20.7399,0.6896,0.6792,0.7016,0.1236,0.1045,0.1454,0.0696,0.0545,0.0855,20
overproduction,agribrain_pert_50,0.5746,0.5693,0.5795,0.8505,0.8145,0.8764,0.0409,0.0389,0.0433,0.6658,0.6610,0.6702,19.2454,15.6436,22.7961,0.6896,0.6792,0.7016,0.1239,0.1058,0.1458,0.0701,0.0551,0.0860,20
overproduction,agribrain_pert_10_static,0.5663,0.5620,0.5712,0.8234,0.7869,0.8555,0.0429,0.0404,0.0453,0.6583,0.6541,0.6628,23.2190,19.8946,26.9209,0.6948,0.6875,0.7024,0.1554,0.1346,0.1757,0.0891,0.0683,0.1148,20
overproduction,agribrain_pert_25_static,0.5663,0.5619,0.5712,0.8234,0.7869,0.8555,0.0429,0.0405,0.0453,0.6582,0.6541,0.6627,20.3694,17.1283,23.7009,0.6948,0.6875,0.7024,0.1556,0.1351,0.1759,0.0891,0.0683,0.1148,20
