Scenario,Method,ARI,ARI_ci_low,ARI_ci_high,RLE,RLE_ci_low,RLE_ci_high,Waste,Waste_ci_low,Waste_ci_high,SLCA,SLCA_ci_low,SLCA_ci_high,Carbon,Carbon_ci_low,Carbon_ci_high,Equity,Equity_ci_low,Equity_ci_high,ConstraintViolationRate,ConstraintViolationRate_ci_low,ConstraintViolationRate_ci_high,OperatingEnvelopeViolationRate,OperatingEnvelopeViolationRate_ci_low,OperatingEnvelopeViolationRate_ci_high,DownstreamViolationRate,DownstreamViolationRate_ci_low,DownstreamViolationRate_ci_high,ContainedViolationRate,ContainedViolationRate_ci_low,ContainedViolationRate_ci_high,n_seeds
cyber_outage,no_pinn,0.5926,0.5855,0.5998,0.8519,0.8374,0.8672,0.0735,0.0700,0.0763,0.7028,0.6990,0.7065,2451,2387,2506,0.6446,0.6401,0.6499,0.6455,0.6215,0.6668,0.6455,0.6215,0.6667,0.1206,0.1050,0.1364,0.1005,0.0909,0.1098,20
cyber_outage,no_slca,0.5813,0.5738,0.5886,0.8195,0.8002,0.8373,0.0759,0.0722,0.0787,0.6916,0.6875,0.6956,2606,2541,2664,0.6322,0.6276,0.6370,0.6455,0.6215,0.6668,0.6455,0.6208,0.6667,0.1545,0.1395,0.1726,0.1075,0.0978,0.1165,20
cyber_outage,no_context,0.5827,0.5753,0.5901,0.8490,0.8349,0.8637,0.0750,0.0712,0.0778,0.6932,0.6891,0.6970,2571,2510,2628,0.6365,0.6322,0.6412,0.6455,0.6208,0.6668,0.6455,0.6217,0.6663,0.1234,0.1084,0.1391,0.1036,0.0942,0.1121,20
cyber_outage,mcp_only,0.5855,0.5782,0.5931,0.8492,0.8355,0.8634,0.0746,0.0706,0.0773,0.6960,0.6919,0.6997,2536,2474,2592,0.6388,0.6343,0.6436,0.6455,0.6218,0.6668,0.6455,0.6219,0.6669,0.1230,0.1074,0.1391,0.1033,0.0943,0.1118,20
cyber_outage,pirag_only,0.5902,0.5829,0.5975,0.8531,0.8384,0.8681,0.0738,0.0701,0.0765,0.7005,0.6966,0.7042,2479,2412,2531,0.6426,0.6380,0.6474,0.6455,0.6219,0.6667,0.6455,0.6208,0.6660,0.1200,0.1052,0.1362,0.1010,0.0918,0.1103,20
cyber_outage,agribrain,0.5927,0.5855,0.6000,0.8531,0.8385,0.8676,0.0734,0.0699,0.0761,0.7029,0.6991,0.7066,2449,2386,2504,0.6448,0.6404,0.6499,0.6455,0.6214,0.6661,0.6455,0.6215,0.6668,0.1195,0.1040,0.1356,0.1007,0.0909,0.1099,20
adaptive_pricing,static,0.5009,0.4938,0.5070,0.0000,0.0000,0.0000,0.0847,0.0790,0.0911,0.5854,0.5849,0.5859,4320,4295,4344,0.5718,0.5712,0.5725,0.1160,0.1132,0.1182,0.1160,0.1132,0.1182,1.0000,1.0000,1.0000,0.0000,0.0000,0.0000,20
adaptive_pricing,hybrid_rl,0.6216,0.6140,0.6294,0.6821,0.6425,0.7217,0.0621,0.0580,0.0666,0.7088,0.7038,0.7141,2727,2662,2790,0.6406,0.6356,0.6463,0.1160,0.1132,0.1182,0.1160,0.1132,0.1182,0.2869,0.2467,0.3257,0.0881,0.0678,0.1145,20
adaptive_pricing,no_pinn,0.6475,0.6393,0.6551,0.7298,0.6945,0.7685,0.0575,0.0537,0.0621,0.7343,0.7303,0.7385,2398,2350,2447,0.6693,0.6645,0.6745,0.1160,0.1132,0.1182,0.1160,0.1132,0.1182,0.1484,0.1188,0.1783,0.0804,0.0609,0.1064,20
adaptive_pricing,no_slca,0.6319,0.6246,0.6399,0.6756,0.6355,0.7164,0.0602,0.0563,0.0648,0.7188,0.7141,0.7242,2597,2534,2656,0.6513,0.6458,0.6572,0.1160,0.1132,0.1182,0.1160,0.1132,0.1182,0.2104,0.1742,0.2454,0.0833,0.0625,0.1096,20
